,GDHTM,CodingBits,8bit,Megalodon,Orion,DeepThinkers
Bajra,9.446694040794352,9.838590510317507,7.725701535239103,3.90678334089357,12.899539861031462,8.219172053656006
Cotton,43.2217394463286,44.60260960879335,43.064270498593885,48.470226084331756,13.688492069389119,39.39409852598912
Groundnut,30.762999408727353,32.19056246097451,28.05927215960258,38.77532473618801,25.88057889043039,29.23558526865685
Maize,5.967942885885788,2.456421857984103,7.656563368221303,0.0,29.13659101144993,7.118640850751231
Rice,10.60062421826391,10.911815561930528,13.49419243834313,8.847665838586664,18.394798167699097,16.032503300946782
