strength,scheme,mean_est,bias,rmse
0.0,random,0.653875,0.0031087866108786555,0.04716836289378947
0.0,stratified,0.6523583943514645,0.0015921809623431482,0.058588946078666874
0.0,uncertain,0.6488999999999998,-0.0018662133891215182,0.04654082049904757
0.0,uncertain_ipw,0.6438030721318279,-0.00696314125729347,0.09329309373425207
0.0,hybrid,0.6528431335923491,0.0020769202032278056,0.06942468941291986
0.5,random,0.64825,-0.0020507322175733478,0.044615605292376334
0.5,stratified,0.6519810407949791,0.0016803085774057536,0.056713153937392305
0.5,uncertain,0.613075,-0.037225732217573304,0.060778310871767424
0.5,uncertain_ipw,0.6162959104348612,-0.034004821782712136,0.09820494755136698
0.5,hybrid,0.6554312985654513,0.005130566347878007,0.07088105058142824
1.0,random,0.648875,-0.0016898535564853212,0.04128160142103957
1.0,stratified,0.6483379968619246,-0.002226856694560686,0.05552641928386125
1.0,uncertain,0.5267000000000001,-0.12386485355648524,0.1335519037395372
1.0,uncertain_ipw,0.5349411258981006,-0.11562372765838469,0.15408228263539125
1.0,hybrid,0.6516426329946206,0.0010777794381352512,0.0674634644265449
1.5,random,0.633225,-0.0025176778242678166,0.04531634298473485
1.5,stratified,0.6316447437238494,-0.004097934100418477,0.05888842169700572
1.5,uncertain,0.4,-0.23574267782426783,0.2400993187541279
1.5,uncertain_ipw,0.4100013699768486,-0.22574130784741925,0.24489424428692538
1.5,hybrid,0.631656455469217,-0.00408622235505085,0.06803505014638687
